"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm"
"1100381163818003273","Walk to Mall, Bus at Doorstep!","182202718","Wing Yan","37","Chermside","-27.38398588302748","153.02489517487922","Private room","66","1","0",NULL,NULL,"1","270","0"
"1172092842173907994","5 BR family house close to Highway and mall","97177917","Olivia","25","Calamvale - Stretton","-27.63310239902055","153.06319566150273","Entire home/apt","339","2","0",NULL,NULL,"81","93","0"
"1172104181976227664","Elegant Coastal Retreat Wynnum","52614545","Christos","155","Wynnum","-27.442496107743573","153.17379976912454","Entire home/apt","165","28","0",NULL,NULL,"4","89","0"
"1172264317787557281","Prime Location City Living Studio +Pool & Parking","564426516","Kate","125","South Brisbane","-27.472419478998784","153.01626262252577","Entire home/apt","106","1","0",NULL,NULL,"4","264","0"
"1172302848066856149","Comfy room with a firm mattress walk to the city!","43134643","Jon","126","Spring Hill","-27.46399377246485","153.02185793419383","Private room","81","2","0",NULL,NULL,"3","51","0"
"1172691402960072901","Luxurious Inner City Apartment","23275306","Marisa","74","Kangaroo Point","-27.466115588655136","153.03553622513908","Entire home/apt","900","7","0",NULL,NULL,"1","269","0"
"1172886282360513133","20th Floor River View 2Bedroom Apartment + Parking","307075592","Emma & Roger","125","South Brisbane","-27.47241440003128","153.016589981326","Entire home/apt","217","2","0",NULL,NULL,"11","94","0"
"1172901450580611925","Large Modern 3 bed 2 bath unit","94200112","Aleja","21","Brisbane City","-27.463288453484175","153.01846861097548","Entire home/apt","191","1","0",NULL,NULL,"5","77","0"
"1173103429631954194","Renovated Studio in Salisbury|5 mins to Sunnybank","174545000","Fion","41","Coopers Plains","-27.55826814521256","153.04149823722514","Entire home/apt","110","1","0",NULL,NULL,"6","178","0"
"4514939","Guest Room - Queen Bedroom","10400335","Clint","71","Indooroopilly","-27.50335","152.97411","Private room","120","1","0",NULL,NULL,"1","365","0"
"48233814","Cat World","184375131","Pomi","41","Coopers Plains","-27.57084","153.04542","Private room","83","1","0",NULL,NULL,"1","310","0"
"22017510","Great Affordable Stay! Only 10mins to CBD","94544314","Matt","42","Coorparoo","-27.49579","153.05265","Private room","40","100","0",NULL,NULL,"1","334","0"
"22167560","Spacious city fringe Queenslander","141279787","Tim","78","Kelvin Grove - Herston","-27.44955","153.0106","Entire home/apt","450","3","0",NULL,NULL,"1","174","0"
"36468641","Very quiet place, private two bedroom townhouse","180786026","Endira","102","Norman Park","-27.47627","153.05994","Private room","120","10","0",NULL,NULL,"1","365","0"
"40846813","Convenient, Spacious, Modern Studio with a View","62020203","Roland","5","Annerley","-27.51265","153.02811","Private room","100","5","0",NULL,NULL,"2","91","0"
