"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"37380","Handy to Brisbane Airport","161432","Ann",NULL,"Wavell Heights","-27.39613","153.05249","Entire home/apt","220","3","47","2024-05-23","0.34","2","321","13",NULL
"277913","SELF-CONTAINED APART., SOLAR,WI-FI,SHOPPING CENTER","1450636","Jean-Marc",NULL,"Upper Mount Gravatt","-27.5615","153.08549","Entire home/apt","70","5","149","2024-05-26","1.01","1","119","19",NULL
"325029","Sunny Home - 2 Bed & Deck","1564865","Roge",NULL,"West End","-27.48294","153.0108","Entire home/apt","243","2","186","2024-05-27","1.82","2","73","15",NULL
"468726","Near the city By the river Close to UQ, Milton","2318421","Bell",NULL,"Auchenflower","-27.47546","153.00183","Entire home/apt",NULL,"2","21","2024-03-03","0.15","4","354","3",NULL
"469007","Nice Room in Large Homely Residence","2328120","Peter",NULL,"Rocklea - Acacia Ridge","-27.59141","153.04508","Private room","55","2","55","2024-02-29","0.38","1","157","3",NULL
"472661","Riverview, near Brisbane City ,","2318421","Bell",NULL,"Paddington - Milton","-27.47424","153.0022","Entire home/apt",NULL,"2","27","2022-07-09","0.2","4","219","0",NULL
"500965","FAMILY 3-bedroom Brisbane City Apartment","2471742","Albert",NULL,"Spring Hill","-27.46281","153.03009","Entire home/apt",NULL,"4","125","2024-02-17","1.03","4","0","10",NULL
"540583","Room 1 A room, a home a place to stay/base","2656870","Carol",NULL,"Riverhills","-27.56106","152.90842","Private room","37","1","377","2024-05-27","4.38","2","289","80",NULL
"554438","Tarragindi Airbnb 2 bedroom 1 bath","2725619","Andrea",NULL,"Tarragindi","-27.53652","153.04888","Private room","200","5","137","2023-06-23","0.94","5","352","2",NULL
"624126","Spacious 2BR  unit– 5 Min Walk Convention Centre","127135","Jan",NULL,"South Brisbane","-27.4781","153.01814","Entire home/apt","288","3","295","2024-05-27","2.05","1","55","29",NULL
"641140","Studio Apartment **** Brisbane CBD","3202696","Peter",NULL,"Spring Hill","-27.46342","153.02809","Entire home/apt","150","4","139","2024-02-20","0.97","14","313","4",NULL
"685296","2 Bedroom 2 bathroom City Apartment","3202696","Peter",NULL,"Brisbane City","-27.46372","153.02964","Entire home/apt","209","4","152","2024-04-16","1.14","14","312","7",NULL
"720741","Beautiful Suburban Acreage","2710969","Ming",NULL,"Rochedale - Burbank","-27.56861","153.13671","Private room","85","1","31","2023-11-06","1.19","3","365","6",NULL
"754266","Great House in the City Centre 1","3968712","Nancy",NULL,"Spring Hill","-27.46249","153.02234","Private room","100","90","29","2016-10-29","0.21","2","365","0",NULL
"774997","Studio Apartment in Brisbane CBD","3202696","Peter",NULL,"Spring Hill","-27.46318","153.02912","Entire home/apt","150","5","140","2024-05-21","1.02","14","305","12",NULL
"938653","Brisbane CBD - Close to Everything","5070129","Jo",NULL,"Spring Hill","-27.46112","153.02605","Private room",NULL,"2","43","2022-07-08","0.31","1","0","0",NULL
"964597","Great House in the City Centre 2","3968712","Nancy",NULL,"Spring Hill","-27.46428","153.02368","Private room","100","90","12","2015-10-09","0.09","2","365","0",NULL
"1090129","Lone Pine Retreat - comfortable home, pets welcome","5989897","Kate",NULL,"Enoggera","-27.4316","152.98991","Entire home/apt","170","2","103","2024-05-25","0.79","3","337","12",NULL
"1295223","Stylish 2 Bedroom Unit - Aircon WiFi Phone","7043053","Dianne",NULL,"Morningside - Seven Hills","-27.47118","153.0743","Entire home/apt","180","3","152","2024-05-21","1.15","1","300","14",NULL
"1314106","New Farm Brisbane, Inner City Suburb","7141160","Jean",NULL,"New Farm","-27.46325","153.04332","Private room","116","1","503","2024-05-24","4.19","1","64","124",NULL
"1430137","Valley room with private courtyard","4967480","Rowan",NULL,"Fortitude Valley","-27.4568","153.03356","Private room","85","2","281","2024-05-22","2.14","3","35","41",NULL
"1442705","2 bedroom apartment in leafy suburb","7746724","Karen",NULL,"Kenmore","-27.51136","152.93874","Entire home/apt",NULL,"7","47","2024-05-22","0.44","3","164","7",NULL
"1479909","The Heart of South Bank","6509735","Alex N Rhonda",NULL,"South Brisbane","-27.47838","153.02295","Private room","145","3","65","2024-05-20","0.5","1","127","2",NULL
"1530759","Brisbane Townhouse on the outskirts of the City.","8165214","Christine",NULL,"Yeronga","-27.51997","153.02713","Entire home/apt","160","3","149","2024-05-20","1.14","1","302","20",NULL
"1563394","Charming Room in heart of West End","8318402","Paula",NULL,"West End","-27.48153","153.01052","Private room","75","5","87","2024-03-14","0.66","1","44","14",NULL
"1607503","Rooms in Brisbane Northside","8562626","Steve",NULL,"Boondall","-27.35174","153.06623","Private room","65","2","5","2020-05-09","0.05","1","77","0",NULL
"1661593","Riverfront 3bd 2ba - Long stay discount available","9131552","Mimi",NULL,"Kangaroo Point","-27.46927","153.03663","Entire home/apt","390","2","242","2024-05-19","1.95","1","260","42",NULL
"1956005","Bardon Oasis-Whole House & great deck to yourself","10109943","Shaktiprem",NULL,"Bardon","-27.454797072003768","152.9815149050332","Entire home/apt","125","6","21","2024-03-25","0.22","2","147","3",NULL
"1963332","Spacious double room modern house","10144106","Jenny",NULL,"Sherwood","-27.53158","152.98865","Private room","100","14","1","2015-12-06","0.01","2","157","0",NULL
"1963513","Stay on Q. Central location- Gabba","10144784","Jennifer",NULL,"Woolloongabba","-27.49379","153.03969","Entire home/apt","115","2","528","2024-05-28","4.35","2","281","63",NULL
"1971015","Lambert House, City Luxury, Sleeps 16","4206298","Jennifer",NULL,"Kangaroo Point","-27.47584","153.03825","Entire home/apt","700","28","8","2020-03-04","0.08","18","266","0",NULL
"1995240","Bright Fortitude Valley room","4967480","Rowan",NULL,"Fortitude Valley","-27.45737","153.03524","Private room","71","2","243","2024-05-08","1.9","3","14","5",NULL
"2047494","Self contained apartment in Toowong","10496579","Pam",NULL,"Toowong","-27.48082","152.98409","Entire home/apt","129","2","267","2024-05-26","2.11","1","325","16",NULL
"2194081","Quiet & Cosy Unit","11190102","Coral",NULL,"Aspley","-27.36883","153.03581","Private room","65","1","294","2024-05-20","2.34","1","69","51",NULL
"2233834","Brisbane Warehouse Apartment CBD 2Bd 2Bath parking","11403501","Dal",NULL,"Brisbane City","-27.46328","153.03009","Entire home/apt","277","2","201","2024-05-20","1.64","1","246","20",NULL
"2285471","Self contained Garden Suite with pool access","11501087","Alexandra",NULL,"Taringa","-27.49176","152.97246","Entire home/apt","110","2","76","2024-05-26","0.63","1","121","44",NULL
"2357039","Cosy 1bed in Fortitude Valley - FREE Parking","9604456","Julie-Anne",NULL,"Fortitude Valley","-27.45973","153.03149","Entire home/apt","131","2","526","2024-05-22","8.53","1","36","85",NULL
"2401148","Light, Bright private and Central","12271060","Anne",NULL,"Highgate Hill","-27.4871","153.01316","Entire home/apt","120","3","25","2017-09-09","0.2","1","0","0",NULL
"2407018","Garden Flat - Great Location","11558462","Kevin",NULL,"West End","-27.48716","153.0045","Entire home/apt","65","14","221","2024-04-03","1.78","1","186","8",NULL
"2441703","StayonQ Central location-Gabba & PAH","10144784","Jennifer",NULL,"Woolloongabba","-27.49176","153.03755","Entire home/apt","160","2","409","2024-05-23","3.31","2","296","28",NULL
"2443646","3 bedroom Family Friendly Home, Fairfield 4103","2626196","Trevor",NULL,"Fairfield - Dutton Park","-27.50837","153.01883","Entire home/apt","175","4","4","2018-04-13","0.03","1","75","0",NULL
"2462135","River view apartment for longer stays","12592196","Jan & Chris",NULL,"West End","-27.48805","153.00561","Entire home/apt","180","60","17","2024-01-30","0.14","2","157","3",NULL
"2489606","Apartment in Paddington","7366474","Michele",NULL,"Paddington - Milton","-27.46573","153.00056","Entire home/apt","150","3","303","2024-06-02","3.05","1","173","23",NULL
"2587898","Windsor Cosy Cottage","13251310","David Andrew",NULL,"Windsor","-27.44092","153.03377","Private room","80","2","4","2017-12-07","0.03","1","362","0",NULL
"2732655","Inner City Haven Enviro-Luxury - with free Parking","6221440","Phil",NULL,"Spring Hill","-27.46035","153.02618","Entire home/apt","241","2","349","2024-05-21","3.1","1","63","28",NULL
"2804936","Chill Camp Hill","14348626","Tracey",NULL,"Camp Hill","-27.49103","153.06873","Entire home/apt","385","10","100","2024-06-03","0.83","5","69","7",NULL
"3106175","Luxury Student Accommodation","15792496","Brian",NULL,"Woolloongabba","-27.49048","153.03535","Shared room","35","180","0",NULL,NULL,"1","365","0",NULL
"3147546","Cute, sunny room","795628","Liz",NULL,"Coorparoo","-27.48945","153.05604","Private room","100","2","0",NULL,NULL,"1","358","0",NULL
"3186758","Blue Moon Beach House","15546129","Helen",NULL,"Moreton Island","-27.18021","153.37491","Entire home/apt","514","4","61","2023-01-29","0.51","1","259","0",NULL
"3516001","Private room with en-suite bathroom & balcony","17703682","Simona",NULL,"Newmarket","-27.43562","153.00949","Private room","75","3","77","2024-05-20","2.56","1","53","36",NULL
"3586293","Stunning, new Bayside apartment","17892744","Harold",NULL,"Manly - Lota","-27.45799","153.18196","Private room","1000","1","2","2015-12-29","0.02","1","91","0",NULL
"3730528","Manly Garden Home at Moreton Bay","16354288","Dr. Barbara",NULL,"Manly West","-27.4702","153.16399","Entire home/apt","182","2","305","2024-05-28","2.57","1","225","27",NULL
