neighbourhood,average_daily_rate,avg_lat,avg_long
Brookfield - Kenmore Hills,579.2222222222222222,-27.49205779,152.89714747161645
Hendra,557.3333333333333333,-27.41901772,153.06614018809285
Moreton Island,468.5081967213114754,-27.16838027,153.37535102530714
Westlake,453.6000000000000000,-27.54820515,152.91589024342153
Pinjarra Hills - Pullenvale,406.4000000000000000,-27.5263502,152.8841191
Northgate - Virginia,365.5714285714285714,-27.38960636,153.0689320701084
Balmoral,356.9473684210526316,-27.45667861,153.06604683657665
Red Hill (Qld),350.9696969696969697,-27.45485316,153.00435668269506
Manly - Lota,321.0227272727272727,-27.45844402,153.18559455969475
Bulimba,312.3428571428571429,-27.44933891,153.05921143210915
Mansfield (Qld),294.4000000000000000,-27.53454748,153.10339099456854
Belmont - Gumdale,285.9000000000000000,-27.50280421,153.1610898238766
Ascot,285.5161290322580645,-27.43181867,153.07001273525395
The Gap,276.9230769230769231,-27.44383857,152.94326129024358
Upper Kedron - Ferny Grove,275.0000000000000000,-27.40883518,152.92238267858804
Carindale,274.5625000000000000,-27.51376703,153.11544366160192
Fig Tree Pocket,274.1666666666666667,-27.52569983,152.95886016666668
Bridgeman Downs,270.3125000000000000,-27.35615316,152.99325775281903
Rochedale - Burbank,269.2000000000000000,-27.56948265,153.12337553873357
Newstead - Bowen Hills,263.6907216494845361,-27.45207489,153.04197913803284
New Farm,263.5597014925373134,-27.46487291,153.04390180372022
Ashgrove,261.2105263157894737,-27.44108295,152.988712
Windsor,260.2692307692307692,-27.43590187,153.03154002658783
Brisbane City,258.2336448598130841,-27.46863873,153.02661875244743
Keperra,258.0000000000000000,-27.4119382,152.9530113333333
Cannon Hill,257.9166666666666667,-27.46754521,153.08812360654386
Camp Hill,253.5000000000000000,-27.49150851,153.0740609471078
Norman Park,252.8750000000000000,-27.47941153,153.06223584799588
Wakerley,247.8000000000000000,-27.481824,153.153088
Geebung,245.0000000000000000,-27.37310071,153.0450641
Kelvin Grove - Herston,239.6744186046511628,-27.45139693,153.01383917664688
Wynnum,237.7230769230769231,-27.44152066,153.1700025442851
Woolloongabba,237.2222222222222222,-27.49300081,153.03778980449928
Wynnum West - Hemmant,233.4285714285714286,-27.45209013,153.14698078571428
Taringa,231.3888888888888889,-27.49274806,152.9790872118193
Hamilton (Qld),225.8437500000000000,-27.43841209,153.0670880951435
Kangaroo Point,220.9076923076923077,-27.47596127,153.03687546086647
Hawthorne,213.1200000000000000,-27.4638866,153.06064032764547
Grange,211.4000000000000000,-27.42429677,153.01689155029536
Paddington - Milton,209.1647058823529412,-27.46462641,153.0021698045671
Taigum - Fitzgibbon,207.8000000000000000,-27.34181654,153.03954780111897
Albion,207.6086956521739130,-27.43011197,153.04506866338144
Wooloowin - Lutwyche,206.5000000000000000,-27.41911568,153.04067869979897
Yeronga,205.1666666666666667,-27.51918489,153.01167419115015
Fortitude Valley,205.1141868512110727,-27.45693158,153.03421305635575
Calamvale - Stretton,203.5263157894736842,-27.61977932,153.05597804952717
Tarragindi,203.1000000000000000,-27.52883613,153.04707116062156
Highgate Hill,202.7317073170731707,-27.48696518,153.0173079535381
Bardon,201.0400000000000000,-27.45949033,152.98207753579854
South Brisbane,200.2949640287769784,-27.47600937,153.01700451711974
Wishart,194.8333333333333333,-27.5524064,153.10283417365665
Spring Hill,192.7638888888888889,-27.46192314,153.02637311177264
Brisbane Airport,189.0000000000000000,-27.39665,153.10745500000002
Forest Lake - Ellen Grove,187.7037037037037037,-27.62104826,152.96326826900435
Eight Mile Plains,185.2926829268292683,-27.57962846,153.08923752453055
East Brisbane,184.2500000000000000,-27.48382727,153.04314504967272
Fairfield - Dutton Park,183.9545454545454545,-27.49953494,153.0244199476782
Brighton (Qld),183.5000000000000000,-27.29884212,153.05578816637177
West End,183.4166666666666667,-27.48259974,153.00646780089446
Morningside - Seven Hills,181.8648648648648649,-27.47155327,153.0723853482992
Clayfield,181.4166666666666667,-27.419865,153.05370978590747
Stafford Heights,179.3750000000000000,-27.4002173,153.00911771170232
Robertson,178.4642857142857143,-27.56630304,153.05787242414758
Coorparoo,178.1142857142857143,-27.49546846,153.05862484840958
Carseldine,178.0000000000000000,-27.34500083,153.0213733044113
Holland Park,176.7500000000000000,-27.5170927,153.06648386250004
Chermside,173.3125000000000000,-27.38704069,153.03027886437218
Jindalee - Mount Ommaney,173.0000000000000000,-27.53384958,152.9409862414849
McDowall,172.0000000000000000,-27.3908,152.988544
Kenmore,170.3750000000000000,-27.51621307,152.93697901033195
Annerley,166.4255319148936170,-27.5100952,153.03212043498024
Sherwood,163.7777777777777778,-27.53362431,152.98223118782568
Nundah,163.7352941176470588,-27.40202167,153.06305560640936
Zillmere,163.5555555555555556,-27.35398133,153.04085228457038
Oxley (Qld),162.5000000000000000,-27.55858146,152.97281828763013
Greenslopes,160.3214285714285714,-27.50615942,153.0487899615407
Enoggera,160.0769230769230769,-27.4227326,152.9902647131695
Alderley,160.0000000000000000,-27.42551035,153.00188643930787
Manly West,159.6666666666666667,-27.46655333,153.16745666666668
Auchenflower,158.4146341463414634,-27.47538538,152.99554094422805
Everton Park,158.4000000000000000,-27.39876399,152.98751248000002
Riverhills,156.2000000000000000,-27.56325084,152.9056394
Moorooka,155.5909090909090909,-27.53301404,153.02456029763718
Murarrie,155.1111111111111111,-27.4627163,153.09663437045677
Karana Downs,155.1111111111111111,-27.53616155,152.8146886008014
Chermside West,153.7500000000000000,-27.38637448,153.01470095472317
Toowong,153.5869565217391304,-27.48262192,152.9899904770957
Nudgee - Banyo,152.5882352941176471,-27.36473441,153.0863823674196
Mount Gravatt,150.8823529411764706,-27.53332157,153.08349481862714
Doolandella,150.1428571428571429,-27.61205738,152.98467628211534
Holland Park West,148.6153846153846154,-27.52729067,153.0626135
Chelmer - Graceville,148.2142857142857143,-27.51780058,152.9798737128442
Durack,147.1250000000000000,-27.58816238,152.98229141175338
Wilston,146.9000000000000000,-27.43560198,153.01956119716516
Indooroopilly,146.1764705882352941,-27.50094081,152.9725855737309
Corinda,145.0000000000000000,-27.5415017,152.982519
Mitchelton,143.6000000000000000,-27.41191966,152.9744655353947
Boondall,143.4545454545454545,-27.3518135,153.06130074341715
Eagle Farm - Pinkenba,141.6153846153846154,-27.43880703,153.07727912733168
Parkinson - Drewvale,141.1666666666666667,-27.6427408,153.04388261541632
Sandgate - Shorncliffe,137.0000000000000000,-27.31831786,153.06829177754676
Bracken Ridge,136.6000000000000000,-27.32436959,153.03904514468348
Carina,135.2222222222222222,-27.48650118,153.09251831690736
Chapel Hill,132.3333333333333333,-27.49791809,152.94870829889885
Carina Heights,132.1111111111111111,-27.50280969,153.09202770027406
Kedron - Gordon Park,131.8620689655172414,-27.40528444,153.03122685207097
Newmarket,129.7647058823529412,-27.43483823,153.00898594924325
St Lucia,127.2608695652173913,-27.4963737,153.00106555471447
Deagon,126.2000000000000000,-27.32846645,153.0591799475666
Rocklea - Acacia Ridge,124.6813186813186813,-27.55549758,153.01643066450836
Algester,122.2000000000000000,-27.61649419,153.03034005062082
Upper Mount Gravatt,120.9200000000000000,-27.55339537,153.08054796112035
Sunnybank,119.5555555555555556,-27.57813773,153.05931693504095
Sunnybank Hills,118.1538461538461538,-27.59284524,153.05236575702824
Salisbury - Nathan,117.4117647058823529,-27.55098604,153.03537402029565
Stafford,117.2222222222222222,-27.40990591,153.01889448506628
Pallara - Willawong,114.0555555555555556,-27.62207931,153.00022321573286
Tingalpa,113.5454545454545455,-27.47564427,153.13352910895605
Darra - Sumner,113.2500000000000000,-27.56188472,152.94325583140647
Bellbowrie - Moggill,110.8571428571428571,-27.5619724,152.87990054783182
Bald Hills,106.2500000000000000,-27.3179734,153.0116042812619
Wavell Heights,104.6428571428571429,-27.39519718,153.04733281591714
Enoggera Reservoir,99.0000000000000000,-27.44573,152.92769500000003
Seventeen Mile Rocks - Sinnamon Park,95.6666666666666667,-27.54919467,152.94664714286407
Aspley,91.7333333333333333,-27.36799823,153.02372097970536
Runcorn,87.7727272727272727,-27.59952088,153.07569471025502
Kuraby,86.9166666666666667,-27.6033788,153.09832865729834
Macgregor (Qld),86.0909090909090909,-27.56627234,153.07006000016202
Coopers Plains,74.8947368421052632,-27.56542092,153.04573923908478
Inala - Richlands,73.5000000000000000,-27.59401273,152.96158075511818
Middle Park - Jamboree Heights,59.0000000000000000,-27.5560053,152.9278341
Wacol,37.0000000000000000,-27.57253,152.92313
