"neighbourhood","room_type","avg_occupancy_rate"
"Albion","Entire home/apt","0.45228310502283105023"
"Albion","Private room","0.43105022831050228311"
"Alderley","Entire home/apt","0.59634703196347031963"
"Alderley","Private room","0.29863013698630136987"
"Algester","Entire home/apt","0.64292237442922374429"
"Algester","Private room","0.38356164383561643836"
"Annerley","Private room","0.56891006551518761167"
"Annerley","Entire home/apt","0.55082912761355443403"
"Ascot","Entire home/apt","0.44178082191780821918"
"Ascot","Private room","0.39086757990867579909"
"Ashgrove","Private room","0.68127853881278538813"
"Ashgrove","Entire home/apt","0.41390937829293993677"
"Aspley","Private room","0.67397260273972602740"
"Aspley","Entire home/apt","0.61986301369863013699"
"Auchenflower","Private room","0.62027397260273972603"
"Auchenflower","Entire home/apt","0.45909980430528375734"
"Bald Hills","Private room","0.52767123287671232877"
"Bald Hills","Entire home/apt","0.43835616438356164384"
"Balmoral","Entire home/apt","0.66198630136986301370"
"Balmoral","Private room","0.59691780821917808219"
"Bardon","Private room","0.66438356164383561644"
"Bardon","Entire home/apt","0.43913894324853228963"
"Bellbowrie - Moggill","Private room","0.76529680365296803653"
"Bellbowrie - Moggill","Entire home/apt","0.43630136986301369863"
"Belmont - Gumdale","Entire home/apt","0.39604261796042617960"
"Boondall","Private room","0.79452054794520547945"
"Boondall","Entire home/apt","0.62945205479452054795"
"Bracken Ridge","Private room","0.82374429223744292237"
"Bracken Ridge","Entire home/apt","0.62054794520547945206"
"Bridgeman Downs","Entire home/apt","0.40593607305936073059"
"Bridgeman Downs","Private room","0.38904109589041095890"
"Brighton (Qld)","Private room","0.91872146118721461187"
"Brighton (Qld)","Entire home/apt","0.57235367372353673724"
"Brisbane Airport","Private room","0.34520547945205479452"
"Brisbane City","Private room","0.62500000000000000000"
"Brisbane City","Entire home/apt","0.55036406269282981612"
"Brisbane City","Shared room","0.18264840182648401826"
"Brisbane City","Hotel room","0.14657534246575342466"
"Brookfield - Kenmore Hills","Entire home/apt","0.46502283105022831050"
"Brookfield - Kenmore Hills","Private room","0.30958904109589041096"
"Bulimba","Entire home/apt","0.40924657534246575342"
"Bulimba","Private room","0.35068493150684931507"
"Calamvale - Stretton","Private room","0.69205479452054794521"
"Calamvale - Stretton","Entire home/apt","0.63287671232876712329"
"Camp Hill","Private room","0.58982387475538160470"
"Camp Hill","Entire home/apt","0.57789954337899543379"
"Cannon Hill","Private room","0.46438356164383561644"
"Cannon Hill","Entire home/apt","0.25357686453576864536"
"Carina","Entire home/apt","0.82123287671232876712"
"Carina","Private room","0.56643835616438356165"
"Carina","Shared room","0.26027397260273972603"
"Carina Heights","Entire home/apt","0.55968688845401174168"
"Carina Heights","Private room","0.46575342465753424658"
"Carindale","Private room","0.69178082191780821918"
"Carindale","Entire home/apt","0.48414872798434442270"
"Carseldine","Entire home/apt","0.47945205479452054794"
"Carseldine","Private room","0.45753424657534246575"
"Chapel Hill","Entire home/apt","0.70753424657534246575"
"Chapel Hill","Private room","0.51849315068493150685"
"Chelmer - Graceville","Entire home/apt","0.58929016189290161893"
"Chelmer - Graceville","Private room","0.21232876712328767124"
"Chermside","Entire home/apt","0.50037359900373599004"
"Chermside","Private room","0.39878234398782343988"
"Chermside West","Entire home/apt","0.40205479452054794521"
