"month","season","available_nights","total_nights","occupancy_rate"
"4","Autumn","35167","86160","59.1840761374187558"
"5","Autumn","36945","89032","58.5036840686494743"
"3","Autumn","37352","89060","58.0597350101055468"
"6","Winter","37052","86184","57.0082613942263065"
"12","Summer","38874","89063","56.3522450400278455"
"1","Summer","39023","89063","56.1849477336267586"
"2","Summer","36413","80444","54.7349709114414997"
"10","Spring","48482","89063","45.5643757789429954"
"7","Winter","48923","89063","45.0692206640243423"
"9","Spring","48070","86190","44.2278686622578025"
"11","Spring","48285","86190","43.9784197702749739"
"8","Winter","58656","89063","34.1410013136768355"
