"neighbourhood","room_type","avg_price","avg_lat","avg_long"
"Albion","Entire home/apt","311.84615384615387","-27.432291749305787","153.04639980947283"
"Albion","Private room","72.1","-27.427278260907155","153.0433381734626"
"Alderley","Entire home/apt","188","-27.424973358356382","153.00418065702917"
"Alderley","Private room","118","-27.426315825488523","152.9984451127259"
"Algester","Private room","76.75","-27.621507263450336","153.02683233708632"
"Algester","Entire home/apt","152.5","-27.613152138292843","153.0326785263105"
"Annerley","Entire home/apt","255.66666666666666","-27.510336589331235","153.0324194010107"
"Annerley","Private room","94.34615384615384","-27.509900224338086","153.03187896241715"
"Ascot","Private room","143.57142857142858","-27.433255462385095","153.07022927835717"
"Ascot","Entire home/apt","326.9166666666667","-27.431399602288817","153.0699495768488"
"Ashgrove","Entire home/apt","342.61538461538464","-27.439831013864858","152.98726315410647"
"Ashgrove","Private room","84.83333333333333","-27.44379547595553","152.99185124643785"
"Aspley","Entire home/apt","119.5","-27.368933101014576","153.02668239846372"
"Aspley","Private room","81.63636363636364","-27.367658273762128","153.02264410015684"
"Auchenflower","Private room","107","-27.475568503194904","152.9981797031474"
"Auchenflower","Entire home/apt","165.55555555555554","-27.47535994334135","152.99517444993367"
"Bald Hills","Private room","99","-27.319512866921745","153.01134570834924"
"Bald Hills","Entire home/apt","128","-27.313355","153.01238"
"Balmoral","Private room","111.11111111111111","-27.4569111706365","153.06662859354296"
"Balmoral","Entire home/apt","578.2","-27.456469297172845","153.06552325530703"
"Bardon","Entire home/apt","285.92857142857144","-27.461120141898473","152.98235765703174"
"Bardon","Private room","93","-27.457416029443042","152.9817210178654"
"Bellbowrie - Moggill","Entire home/apt","145","-27.563760577907097","152.88276263584441"
"Bellbowrie - Moggill","Private room","65.33333333333333","-27.559588158578993","152.8760844304818"
"Belmont - Gumdale","Entire home/apt","285.9","-27.5028042141193","153.1610898238766"
"Boondall","Entire home/apt","161.33333333333334","-27.351593172659378","153.06046201973206"
"Boondall","Private room","63","-27.352805","153.06507499999998"
"Bracken Ridge","Entire home/apt","216","-27.324160335299098","153.04073971170868"
"Bracken Ridge","Private room","83.66666666666667","-27.3245091","153.03791543333332"
"Bridgeman Downs","Entire home/apt","608.5","-27.360810552083834","152.99202721445036"
"Bridgeman Downs","Private room","67.4","-27.35335872270527","152.99399607584024"
"Brighton (Qld)","Private room","77.66666666666667","-27.306533742341028","153.05575913067747"
