"room_type","neighbourhood","avg_revenue"
"Entire home/apt","Albion","300.3333333333333333"
"Private room","Albion","95.0000000000000000"
"Entire home/apt","Alderley","188.0000000000000000"
"Private room","Alderley","118.0000000000000000"
"Entire home/apt","Algester","152.5000000000000000"
"Private room","Algester","94.5000000000000000"
"Entire home/apt","Annerley","253.3157894736842105"
"Private room","Annerley","81.4761904761904762"
"Entire home/apt","Ascot","308.2857142857142857"
"Private room","Ascot","131.5000000000000000"
"Entire home/apt","Ashgrove","257.9090909090909091"
"Private room","Ashgrove","84.8333333333333333"
"Entire home/apt","Aspley","119.5000000000000000"
"Private room","Aspley","81.6363636363636364"
"Entire home/apt","Auchenflower","167.4375000000000000"
"Private room","Auchenflower","107.0000000000000000"
"Entire home/apt","Bald Hills","128.0000000000000000"
"Private room","Bald Hills","68.8000000000000000"
"Entire home/apt","Balmoral","304.1250000000000000"
"Private room","Balmoral","112.1250000000000000"
"Entire home/apt","Bardon","290.6153846153846154"
"Private room","Bardon","93.8000000000000000"
"Entire home/apt","Bellbowrie - Moggill","158.3333333333333333"
"Private room","Bellbowrie - Moggill","65.3333333333333333"
"Entire home/apt","Belmont - Gumdale","293.1111111111111111"
"Entire home/apt","Boondall","150.2857142857142857"
"Private room","Boondall","63.0000000000000000"
"Entire home/apt","Bracken Ridge","216.0000000000000000"
"Private room","Bracken Ridge","83.6666666666666667"
"Entire home/apt","Bridgeman Downs","608.5000000000000000"
"Private room","Bridgeman Downs","63.3750000000000000"
"Entire home/apt","Brighton (Qld)","200.3636363636363636"
"Private room","Brighton (Qld)","77.6666666666666667"
"Private room","Brisbane Airport","249.0000000000000000"
"Hotel room","Brisbane City","542.5000000000000000"
"Entire home/apt","Brisbane City","247.9663299663299663"
"Shared room","Brisbane City","160.0000000000000000"
"Private room","Brisbane City","140.7812500000000000"
"Entire home/apt","Brookfield - Kenmore Hills","638.9285714285714286"
"Private room","Brookfield - Kenmore Hills","78.0000000000000000"
"Entire home/apt","Bulimba","323.4285714285714286"
"Private room","Bulimba","122.0000000000000000"
"Entire home/apt","Calamvale - Stretton","266.4615384615384615"
"Private room","Calamvale - Stretton","60.4000000000000000"
"Entire home/apt","Camp Hill","331.4000000000000000"
"Private room","Camp Hill","86.5714285714285714"
"Entire home/apt","Cannon Hill","203.4285714285714286"
"Private room","Cannon Hill","90.5000000000000000"
"Entire home/apt","Carina","183.5000000000000000"
"Private room","Carina","99.7500000000000000"
"Shared room","Carina","84.0000000000000000"
"Entire home/apt","Carina Heights","147.1666666666666667"
"Private room","Carina Heights","63.5000000000000000"
"Entire home/apt","Carindale","303.0714285714285714"
"Private room","Carindale","75.0000000000000000"
"Private room","Carseldine","199.0000000000000000"
"Entire home/apt","Carseldine","155.0000000000000000"
"Entire home/apt","Chapel Hill","190.2500000000000000"
"Private room","Chapel Hill","96.2500000000000000"
"Entire home/apt","Chelmer - Graceville","158.8181818181818182"
"Private room","Chelmer - Graceville","109.5000000000000000"
"Entire home/apt","Chermside","184.7368421052631579"
"Private room","Chermside","87.8888888888888889"
"Entire home/apt","Chermside West","153.7500000000000000"
"Entire home/apt","Clayfield","242.3888888888888889"
"Private room","Clayfield","110.5000000000000000"
"Entire home/apt","Coopers Plains","110.5000000000000000"
"Private room","Coopers Plains","70.0000000000000000"
"Entire home/apt","Coorparoo","226.8823529411764706"
"Private room","Coorparoo","105.0000000000000000"
"Private room","Corinda","165.0000000000000000"
"Entire home/apt","Corinda","125.0000000000000000"
"Entire home/apt","Darra - Sumner","125.6666666666666667"
"Entire home/apt","Deagon","173.6666666666666667"
"Private room","Deagon","55.0000000000000000"
"Entire home/apt","Doolandella","228.0000000000000000"
"Private room","Doolandella","70.0000000000000000"
"Entire home/apt","Durack","200.0000000000000000"
"Private room","Durack","52.5000000000000000"
"Entire home/apt","Eagle Farm - Pinkenba","161.4000000000000000"
"Private room","Eagle Farm - Pinkenba","122.8000000000000000"
"Entire home/apt","East Brisbane","216.9642857142857143"
"Private room","East Brisbane","96.0000000000000000"
"Entire home/apt","Eight Mile Plains","310.1538461538461538"
"Shared room","Eight Mile Plains","201.0000000000000000"
"Private room","Eight Mile Plains","99.5625000000000000"
"Entire home/apt","Enoggera","148.7142857142857143"
"Private room","Enoggera","96.0000000000000000"
"Entire home/apt","Enoggera Reservoir","99.0000000000000000"
"Entire home/apt","Everton Park","185.0000000000000000"
"Private room","Everton Park","87.5000000000000000"
"Entire home/apt","Fairfield - Dutton Park","209.6153846153846154"
"Private room","Fairfield - Dutton Park","87.3333333333333333"
"Entire home/apt","Fig Tree Pocket","282.0000000000000000"
"Entire home/apt","Forest Lake - Ellen Grove","255.4545454545454545"
"Private room","Forest Lake - Ellen Grove","73.3636363636363636"
"Shared room","Fortitude Valley","288.0000000000000000"
"Entire home/apt","Fortitude Valley","208.0277777777777778"
"Private room","Fortitude Valley","138.1428571428571429"
"Entire home/apt","Geebung","245.0000000000000000"
"Entire home/apt","Grange","373.6000000000000000"
